,Country,Total_Medals,Population,GDP ($ per capita)
188,Afghanistan,,"31,056,997.00",$700.00
189,Albania,,"3,581,655.00","$4,500.00"
0,Algeria,2.0,"32,930,091.00","$6,000.00"
190,American Samoa,,"57,794.00","$8,000.00"
191,Andorra,,"71,201.00","$19,000.00"
192,Angola,,"12,127,071.00","$1,900.00"
193,Anguilla,,"13,477.00","$8,600.00"
194,Antigua & Barbuda,,"69,108.00","$11,000.00"
1,Argentina,21.0,"39,921,833.00","$11,200.00"
2,Argentina,1.0,"39,921,833.00","$11,200.00"
3,Armenia,1.0,"2,976,372.00","$3,500.00"
4,Armenia,3.0,"2,976,372.00","$3,500.00"
195,Aruba,,"71,891.00","$28,000.00"
5,Australia,25.0,"20,264,082.00","$29,000.00"
6,Australia,23.0,"20,264,082.00","$29,000.00"
7,Australia,34.0,"20,264,082.00","$29,000.00"
8,Austria,2.0,"8,192,880.00","$30,000.00"
9,Azerbaijan,10.0,"7,961,619.00","$3,400.00"
10,Azerbaijan,1.0,"7,961,619.00","$3,400.00"
11,Azerbaijan,7.0,"7,961,619.00","$3,400.00"
12,Bahamas,5.0,,
13,Bahamas,1.0,,
196,"Bahamas, The",,"303,770.00","$16,700.00"
14,Bahrain,1.0,"698,585.00","$16,900.00"
15,Bahrain,1.0,"698,585.00","$16,900.00"
197,Bangladesh,,"147,365,352.00","$1,900.00"
198,Barbados,,"279,912.00","$15,700.00"
16,Belarus,7.0,"10,293,011.00","$6,100.00"
17,Belarus,1.0,"10,293,011.00","$6,100.00"
18,Belarus,4.0,"10,293,011.00","$6,100.00"
19,Belgium,2.0,"10,379,067.00","$29,100.00"
20,Belgium,2.0,"10,379,067.00","$29,100.00"
21,Belgium,17.0,"10,379,067.00","$29,100.00"
199,Belize,,"287,730.00","$4,900.00"
200,Benin,,"7,862,944.00","$1,100.00"
201,Bermuda,,"65,773.00","$36,000.00"
202,Bhutan,,"2,279,723.00","$1,300.00"
203,Bolivia,,"8,989,046.00","$2,400.00"
204,Bosnia & Herzegovina,,"4,498,976.00","$6,100.00"
205,Botswana,,"1,639,833.00","$9,000.00"
22,Brazil,6.0,"188,078,227.00","$7,600.00"
23,Brazil,36.0,"188,078,227.00","$7,600.00"
24,Brazil,8.0,"188,078,227.00","$7,600.00"
206,British Virgin Is.,,"23,098.00","$16,000.00"
207,Brunei,,"379,444.00","$18,600.00"
25,Bulgaria,6.0,"7,385,367.00","$7,600.00"
26,Bulgaria,1.0,"7,385,367.00","$7,600.00"
208,Burkina Faso,,"13,902,972.00","$1,100.00"
209,Burma,,"47,382,633.00","$1,800.00"
27,Burundi,1.0,"8,090,068.00",$600.00
210,Cambodia,,"13,881,427.00","$1,900.00"
211,Cameroon,,"17,340,702.00","$1,800.00"
28,Canada,61.0,"33,098,932.00","$29,800.00"
29,Canada,4.0,"33,098,932.00","$29,800.00"
30,Canada,4.0,"33,098,932.00","$29,800.00"
212,Cape Verde,,"420,979.00","$1,400.00"
213,Cayman Islands,,"45,436.00","$35,000.00"
214,Central African Rep.,,"4,303,356.00","$1,100.00"
215,Chad,,"9,944,201.00","$1,200.00"
216,Chile,,"16,134,219.00","$9,900.00"
31,China,37.0,"1,313,973,713.00","$5,000.00"
32,China,46.0,"1,313,973,713.00","$5,000.00"
33,China,30.0,"1,313,973,713.00","$5,000.00"
34,Colombia,3.0,"43,593,035.00","$6,300.00"
35,Colombia,3.0,"43,593,035.00","$6,300.00"
